127.0.0.1, 2018-04-30 18:28:25, POST, /yabba/default/edit/17, HTTP/1.1, 303, 0.051087
127.0.0.1, 2018-04-30 18:28:25, GET, /yabba/default/index, HTTP/1.1, 200, 0.025091
127.0.0.1, 2018-04-30 18:28:30, GET, /yabba/default/toggle_public/17, HTTP/1.1, 303, 0.022031
127.0.0.1, 2018-04-30 18:28:30, GET, /yabba/default/index, HTTP/1.1, 200, 0.020002
127.0.0.1, 2018-04-30 18:28:33, GET, /yabba/default/toggle_public/17, HTTP/1.1, 303, 0.024059
127.0.0.1, 2018-04-30 18:28:33, GET, /yabba/default/index, HTTP/1.1, 200, 0.020446
127.0.0.1, 2018-04-30 18:28:37, GET, /yabba/default/add, HTTP/1.1, 200, 0.031253
127.0.0.1, 2018-04-30 18:28:59, GET, /yabba/default/edit/17, HTTP/1.1, 200, 0.023674
127.0.0.1, 2018-04-30 18:28:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000305
127.0.0.1, 2018-04-30 18:29:02, POST, /yabba/default/edit/17, HTTP/1.1, 303, 0.040016
127.0.0.1, 2018-04-30 18:29:02, GET, /yabba/default/index, HTTP/1.1, 200, 0.026531
127.0.0.1, 2018-04-30 18:29:06, GET, /yabba/default/toggle_public/17, HTTP/1.1, 303, 0.024275
127.0.0.1, 2018-04-30 18:29:06, GET, /yabba/default/index, HTTP/1.1, 200, 0.027560
127.0.0.1, 2018-04-30 18:29:08, GET, /yabba/default/toggle_public/17, HTTP/1.1, 303, 0.027631
127.0.0.1, 2018-04-30 18:29:08, GET, /yabba/default/index, HTTP/1.1, 200, 0.033232
127.0.0.1, 2018-04-30 18:29:13, GET, /yabba/default/add, HTTP/1.1, 200, 0.027643
127.0.0.1, 2018-04-30 18:30:58, POST, /yabba/default/add, HTTP/1.1, 303, 0.019269
127.0.0.1, 2018-04-30 18:30:58, GET, /yabba/default/index, HTTP/1.1, 200, 0.024604
127.0.0.1, 2018-04-30 18:31:06, GET, /yabba/default/toggle_public/17, HTTP/1.1, 303, 0.027895
127.0.0.1, 2018-04-30 18:31:06, GET, /yabba/default/index, HTTP/1.1, 200, 0.022054
127.0.0.1, 2018-04-30 18:31:12, GET, /yabba/default/user/logout, HTTP/1.1, 303, 0.022010
127.0.0.1, 2018-04-30 18:31:13, GET, /yabba/default/index, HTTP/1.1, 200, 0.025837
127.0.0.1, 2018-04-30 18:31:27, GET, /yabba/default/user, HTTP/1.1, 303, 0.017594
127.0.0.1, 2018-04-30 18:31:27, GET, /yabba/default/user/login, HTTP/1.1, 200, 0.024817
127.0.0.1, 2018-04-30 18:31:31, GET, /yabba/default/user/register, HTTP/1.1, 200, 0.031131
127.0.0.1, 2018-04-30 18:32:05, POST, /yabba/default/user/register, HTTP/1.1, 303, 0.034457
127.0.0.1, 2018-04-30 18:32:05, GET, /yabba/default/index, HTTP/1.1, 200, 0.027241
127.0.0.1, 2018-04-30 18:32:29, GET, /yabba/default/add, HTTP/1.1, 200, 0.024756
127.0.0.1, 2018-04-30 18:33:48, POST, /yabba/default/add, HTTP/1.1, 303, 0.019407
127.0.0.1, 2018-04-30 18:33:48, GET, /yabba/default/index, HTTP/1.1, 200, 0.026548
127.0.0.1, 2018-04-30 18:33:51, GET, /yabba/default/toggle_public/19, HTTP/1.1, 303, 0.025503
127.0.0.1, 2018-04-30 18:33:52, GET, /yabba/default/index, HTTP/1.1, 200, 0.025982
127.0.0.1, 2018-04-30 18:34:14, GET, /yabba/default/add, HTTP/1.1, 200, 0.025841
127.0.0.1, 2018-04-30 18:34:34, POST, /yabba/default/add, HTTP/1.1, 303, 0.020171
127.0.0.1, 2018-04-30 18:34:34, GET, /yabba/default/index, HTTP/1.1, 200, 0.027346
127.0.0.1, 2018-04-30 18:35:40, GET, /yabba/default/index, HTTP/1.1, 200, 0.025494
127.0.0.1, 2018-04-30 18:35:45, GET, /yabba/default/toggle_public/20, HTTP/1.1, 303, 0.021640
127.0.0.1, 2018-04-30 18:35:45, GET, /yabba/default/index, HTTP/1.1, 200, 0.025948
127.0.0.1, 2018-04-30 18:35:49, GET, /yabba/default/toggle_public/20, HTTP/1.1, 303, 0.021360
127.0.0.1, 2018-04-30 18:35:49, GET, /yabba/default/index, HTTP/1.1, 200, 0.025377
127.0.0.1, 2018-04-30 18:35:55, GET, /yabba/default/user/logout, HTTP/1.1, 303, 0.026335
127.0.0.1, 2018-04-30 18:35:55, GET, /yabba/default/index, HTTP/1.1, 200, 0.032298
127.0.0.1, 2018-04-30 18:36:04, GET, /yabba/default/user/request_reset_password, HTTP/1.1, 200, 0.032479
127.0.0.1, 2018-04-30 18:36:06, GET, /yabba/default/user/register, HTTP/1.1, 200, 0.032137
127.0.0.1, 2018-04-30 18:36:27, POST, /yabba/default/user/register, HTTP/1.1, 200, 0.028442
127.0.0.1, 2018-04-30 18:37:24, POST, /yabba/default/user/register, HTTP/1.1, 303, 0.032594
127.0.0.1, 2018-04-30 18:37:24, GET, /yabba/default/index, HTTP/1.1, 200, 0.023203
127.0.0.1, 2018-04-30 18:37:56, GET, /yabba/default/add, HTTP/1.1, 200, 0.029120
127.0.0.1, 2018-04-30 18:38:04, POST, /yabba/default/add, HTTP/1.1, 303, 0.018974
127.0.0.1, 2018-04-30 18:38:04, GET, /yabba/default/index, HTTP/1.1, 200, 0.026024
127.0.0.1, 2018-04-30 18:38:11, GET, /yabba/default/add, HTTP/1.1, 200, 0.028280
127.0.0.1, 2018-04-30 18:38:20, POST, /yabba/default/add, HTTP/1.1, 303, 0.020927
127.0.0.1, 2018-04-30 18:38:20, GET, /yabba/default/index, HTTP/1.1, 200, 0.024373
127.0.0.1, 2018-04-30 18:38:26, GET, /yabba/default/toggle_public/21, HTTP/1.1, 303, 0.025262
127.0.0.1, 2018-04-30 18:38:26, GET, /yabba/default/index, HTTP/1.1, 200, 0.022309
127.0.0.1, 2018-04-30 18:38:42, GET, /yabba/default/user/profile, HTTP/1.1, 200, 0.031318
127.0.0.1, 2018-04-30 18:38:44, GET, /yabba/default/index, HTTP/1.1, 200, 0.024576
127.0.0.1, 2018-04-30 18:39:20, GET, /yabba/default/user/logout, HTTP/1.1, 303, 0.020671
127.0.0.1, 2018-04-30 18:39:20, GET, /yabba/default/index, HTTP/1.1, 200, 0.030016
127.0.0.1, 2018-04-30 18:39:23, GET, /yabba/default/delete/19, HTTP/1.1, 303, 0.026041
127.0.0.1, 2018-04-30 18:39:23, GET, /yabba/default/user/login, HTTP/1.1, 200, 0.022366
127.0.0.1, 2018-04-30 18:39:30, POST, /yabba/default/user/login, HTTP/1.1, 303, 0.025517
127.0.0.1, 2018-04-30 18:39:30, GET, /yabba/default/delete/19, HTTP/1.1, 303, 0.017495
127.0.0.1, 2018-04-30 18:39:30, GET, /yabba/default/user/not_authorized, HTTP/1.1, 200, 0.024482
127.0.0.1, 2018-04-30 18:40:39, GET, /admin/default/site, HTTP/1.1, 200, 0.026395
127.0.0.1, 2018-04-30 18:40:39, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.000535
127.0.0.1, 2018-04-30 18:40:39, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000681
